0.842,-10.13,-217.83,-1.19901472089308e+21,-213.18,-213.34
0.846,-9.97,-215.91,-1.52881402529286e+21,-210.5,-210.66
0.85,-9.8,-227.03,-1.94932750739942e+21,-207.69,-207.84
0.854,-9.62,-209.39,-2.48550679799825e+21,-204.75,-204.9
0.858,-9.44,-208.24,-3.16916701370695e+21,-201.67,-201.82
0.862,-9.25,-205.17,-4.04087390595659e+21,-198.47,-198.62
0.866,-9.05,-202.87,-5.15235103499256e+21,-195.15,-195.29
0.87,-8.85,-199.42,-6.56954939523305e+21,-191.7,-191.84
0.874,-8.64,-195.2,-8.37656076187025e+21,-188.13,-188.27
0.878,-8.43,-193.67,-1.06806062718827e+22,-184.44,-184.58
0.882,-8.21,-185.61,-1.36183988844086e+22,-180.64,-180.77
0.886,-7.99,-180.24,-1.7364256615475e+22,-176.72,-176.85
0.89,-7.76,-174.49,-2.21404456174913e+22,-172.69,-172.82
0.894,-7.53,-171.42,-2.82303684078088e+22,-168.55,-168.68
0.898,-7.3,-166.44,-3.59953758061293e+22,-164.3,-164.43
0.902,-7.05,-162.99,-4.58962153277301e+22,-159.95,-160.08
0.906,-6.81,-160.68,-5.8520368033203e+22,-155.5,-155.62
0.91,-6.56,-158,-7.461689963417e+22,-150.95,-151.07
0.914,-6.3,-156.08,-9.5140920028805e+22,-146.31,-146.42
0.918,-6.04,-147.26,-1.21310256599544e+23,-141.57,-141.68
0.922,-5.78,-137.29,-1.54677678440312e+23,-136.75,-136.86
0.926,-5.52,-136.14,-1.97223112062487e+23,-131.83,-131.94
0.93,-5.25,-129.24,-2.51471041229993e+23,-126.84,-126.94
0.934,-4.97,-125.4,-3.206403327117e+23,-121.76,-121.86
0.938,-4.7,-122.33,-4.08835260963219e+23,-116.61,-116.71
0.942,-4.42,-111.98,-5.21288954708358e+23,-111.38,-111.48
0.946,-4.14,-109.68,-6.64673947155031e+23,-106.08,-106.17
0.95,-3.85,-102.01,-8.47498330632874e+23,-100.72,-100.81
0.954,-3.56,-95.49,-1.08061012372272e+24,-95.29,-95.38
0.958,-3.28,-88.59,-1.37784121394571e+24,-89.81,-89.88
0.962,-2.98,-82.45,-1.75682841801856e+24,-84.26,-84.34
0.966,-2.69,-75.55,-2.24005932577346e+24,-78.66,-78.74
0.97,-2.4,-72.1,-2.85620709502997e+24,-73.02,-73.08
0.974,-2.1,-65.19,-3.64183144315992e+24,-67.32,-67.39
0.978,-1.8,-56.76,-4.64354873358946e+24,-61.59,-61.65
0.982,-1.5,-56.76,-5.92079725802784e+24,-55.81,-55.87
0.986,-1.2,-43.72,-7.54936344688927e+24,-50,-50.05
0.99,-0.9,-40.27,-9.62588114546462e+24,-44.16,-44.21
0.994,-0.6,-31.83,-1.22735630749512e+25,-38.29,-38.34
0.998,-0.3,-25.31,-1.56495120841744e+25,-32.4,-32.44
1.002,-0,-19.56,-1.99540459787164e+25,-26.48,-26.52
1.006,0.3,-12.66,-2.54425795299435e+25,-20.55,-20.58
1.01,0.6,-3.83,-3.2440780781105e+25,-14.61,-14.64
1.014,0.9,1.92,-4.1363899776358e+25,-8.66,-8.68
1.018,1.2,8.05,-5.27413995757922e+25,-2.7,-2.72
1.022,1.5,13.81,-6.72483802839593e+25,3.26,3.25
1.026,1.8,17.64,-8.57456315429426e+25,9.22,9.21
1.03,2.1,19.94,-1.09330716178384e+26,15.17,15.17
1.034,2.4,19.94,-1.39403077982691e+26,21.12,21.11
1.038,2.69,20.71,-1.77747088956858e+26,27.05,27.05
1.042,2.98,26.08,-2.26637952068193e+26,32.96,32.96
1.046,3.27,27.61,-2.88976694523446e+26,38.85,38.86
1.05,3.56,47.55,-3.68462238997534e+26,44.72,44.73
1.054,3.85,42.18,-4.69810975228248e+26,50.56,50.57
1.058,4.14,44.1,-5.99036541783616e+26,56.36,56.38
1.062,4.42,48.7,-7.63806696772757e+26,62.13,62.16
1.066,4.7,62.51,-9.73898288341714e+26,67.87,67.9
1.07,4.97,61.36,-1.24177755234852e+27,73.56,73.59
1.074,5.24,66.34,-1.58333923650476e+27,79.2,79.24
1.078,5.51,72.86,-2.0188504833763e+27,84.79,84.83
1.082,5.78,77.47,-2.57415282022718e+27,90.33,90.38
1.086,6.04,85.14,-3.28219582132186e+27,95.81,95.86
1.09,6.3,91.66,-4.18499246279703e+27,101.23,101.29
1.094,6.56,96.26,-5.33611120399904e+27,106.59,106.65
1.098,6.81,104.31,-6.8038551731445e+27,111.88,111.94
1.102,7.05,108.91,-8.67531425291048e+27,117.1,117.17
1.106,7.29,114.28,-1.10615343008459e+28,122.25,122.32
1.11,7.53,121.57,-1.41041054409107e+28,127.32,127.39
1.114,7.76,125.4,-1.79835625631535e+28,132.3,132.38
1.118,7.99,130.77,-2.29300974217817e+28,137.21,137.29
1.122,8.21,138.06,-2.92372192608052e+28,142.03,142.11
1.126,8.43,131.16,-3.72791709016248e+28,146.75,146.84
1.13,8.64,146.88,-4.75331309490519e+28,151.39,151.48
1.134,8.85,151.48,-6.06075267395561e+28,155.93,156.02
1.138,9.05,155.7,-7.72781510001265e+28,160.37,160.47
1.142,9.25,158.77,-9.85341789484639e+28,164.71,164.81
